颜色,十六进制,名称,像素数,占比
21,25,24,#151918,黑色,23018,21.63%
80,130,195,#5082C3,灰色,21035,19.77%
15,95,171,#0F5FAB,灰色,17524,16.47%
7,36,63,#07243F,黑色,16960,15.94%
26,69,106,#1A456A,灰色,11003,10.34%
141,99,22,#8D6316,棕色,10019,9.42%
168,174,187,#A8AEBB,银色,6841,6.43%
